,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,SEASON_ID
12,1629008,Michael Porter Jr.,Michael,1610612743,DEN,23.0,61,40,21,0.656,31.3,118.7,120.2,120.2,111.2,111.9,111.9,7.5,8.3,8.3,0.052,0.91,6.9,0.051,0.189,0.121,7.6,7.5,0.646,0.663,0.214,0.218,98.99,98.1,81.75,98.1,0.125,3924,443,817,7.3,13.4,0.542,3,3,20,13,3,1,2,2,13,15,15,4,3,3,19,17,19,7,3,5,7,7,1,1,4,4,16,17,17,2,2,2,3,3,2,2020-21
13,1628420,Monte Morris,Monte,1610612743,DEN,26.0,47,30,17,0.638,25.5,114.9,115.7,115.7,109.5,109.5,109.5,5.4,6.2,6.2,0.172,4.41,24.9,0.009,0.071,0.04,5.6,5.6,0.547,0.574,0.161,0.165,99.24,98.88,82.4,98.88,0.092,2464,186,387,4.0,8.2,0.481,9,9,15,18,8,7,8,8,9,8,8,11,9,9,4,1,3,17,20,21,4,4,6,6,13,13,14,15,15,5,6,6,6,6,6,2020-21
14,203999,Nikola Jokic,Nikola,1610612743,DEN,26.0,72,47,25,0.653,34.6,118.1,120.2,120.2,112.3,112.6,112.6,5.8,7.7,7.7,0.377,2.7,26.2,0.087,0.237,0.163,9.7,9.7,0.602,0.647,0.293,0.296,99.13,98.15,81.79,98.15,0.201,5084,732,1293,10.2,18.0,0.566,1,1,22,15,2,2,1,1,17,19,19,8,7,7,1,4,2,3,1,2,13,13,2,2,1,1,15,16,16,1,1,1,1,1,1,2020-21
15,1628408,PJ Dozier,PJ,1610612743,DEN,24.0,50,36,14,0.72,21.8,111.0,112.0,112.0,102.1,102.5,102.5,8.9,9.5,9.5,0.116,2.0,17.7,0.031,0.133,0.082,8.8,8.8,0.483,0.501,0.166,0.171,99.96,99.31,82.76,99.31,0.076,2242,148,355,3.0,7.1,0.417,7,7,13,4,10,12,10,10,4,3,3,2,2,2,8,8,9,11,11,11,10,10,16,16,12,11,11,12,12,11,8,8,11,10,16,2020-21
16,200794,Paul Millsap,Paul,1610612743,DEN,36.0,56,38,18,0.679,20.8,114.6,116.2,116.2,109.9,111.5,111.5,4.7,4.7,4.7,0.113,1.92,16.6,0.067,0.167,0.117,8.6,8.6,0.537,0.565,0.184,0.188,98.14,96.76,80.64,96.76,0.098,2339,191,401,3.4,7.2,0.476,5,4,17,8,11,8,7,7,10,13,13,13,12,12,9,9,10,5,5,6,9,9,9,7,8,8,20,22,22,4,5,5,8,9,9,2020-21
18,1627885,Shaquille Harrison,Shaquille,1610612743,DEN,27.0,17,12,5,0.706,16.3,105.0,104.1,104.1,106.1,106.6,106.6,-1.1,-2.5,-2.5,0.078,2.67,18.4,0.014,0.123,0.068,6.9,6.9,0.371,0.431,0.108,0.112,101.9,102.11,85.09,102.11,0.045,586,20,58,1.2,3.4,0.345,18,17,3,6,13,17,15,15,5,5,5,16,16,16,13,5,7,16,14,14,6,6,20,20,20,21,6,8,8,20,20,19,16,14,20,2020-21
19,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,24.0,41,28,13,0.683,6.9,98.0,96.5,96.5,116.1,113.9,113.9,-18.1,-17.5,-17.5,0.073,1.0,13.3,0.035,0.136,0.083,13.3,13.2,0.521,0.547,0.132,0.138,103.87,105.68,88.07,105.68,0.069,621,33,72,0.8,1.8,0.458,11,11,11,7,18,21,19,19,20,20,20,20,20,20,14,14,13,9,10,10,19,19,10,11,17,17,4,5,5,14,16,16,19,20,11,2020-21
20,203115,Will Barton,Will,1610612743,DEN,30.0,56,37,19,0.661,31.0,117.5,118.4,118.4,112.0,112.4,112.4,5.5,6.0,6.0,0.135,1.89,19.4,0.024,0.109,0.067,10.3,10.2,0.507,0.538,0.187,0.192,98.09,97.52,81.27,97.52,0.076,3535,259,608,4.6,10.9,0.426,5,6,18,11,4,6,6,6,16,17,17,10,10,10,6,10,5,13,15,15,14,14,14,14,7,7,21,20,20,10,4,4,4,4,14,2020-21
21,1630192,Zeke Nnaji,Zeke,1610612743,DEN,20.0,42,30,12,0.714,9.5,105.1,102.0,102.0,113.2,112.5,112.5,-8.1,-10.5,-10.5,0.037,1.43,7.8,0.034,0.129,0.08,5.5,5.5,0.596,0.615,0.126,0.131,100.7,102.52,85.43,102.52,0.074,852,50,104,1.2,2.5,0.481,10,9,10,5,15,16,17,17,19,18,18,17,17,17,20,12,18,10,12,12,3,3,3,3,19,19,9,7,7,13,12,14,15,17,5,2020-21
0,1629626,Bol Bol,Bol,1610612743,DEN,20.0,7,2,5,0.286,12.4,110.8,113.6,113.6,123.1,123.3,123.3,-12.3,-9.8,-9.8,0.103,0.6,12.5,0.057,0.171,0.112,20.8,20.7,0.571,0.617,0.206,0.212,99.86,98.55,82.13,98.55,0.082,177,14,28,2.0,4.0,0.5,16,18,6,19,15,11,6,6,18,20,20,18,20,20,9,17,14,10,5,7,19,19,5,5,4,4,11,14,14,10,14,14,13,14,6,2019-20
1,203914,Gary Harris,Gary,1610612743,DEN,25.0,56,37,19,0.661,31.8,109.6,110.5,110.5,106.2,107.1,107.1,3.3,3.4,3.4,0.091,1.97,16.0,0.015,0.077,0.046,8.1,8.1,0.487,0.519,0.15,0.153,98.56,97.71,81.43,97.71,0.062,3623,218,519,3.9,9.3,0.42,8,8,12,1,4,13,11,11,4,5,5,6,6,6,12,6,9,18,19,19,6,6,16,16,15,15,14,19,19,15,6,6,6,4,15,2019-20
2,1627750,Jamal Murray,Jamal,1610612743,DEN,23.0,59,38,21,0.644,32.3,111.7,113.0,113.0,107.0,107.7,107.7,4.7,5.3,5.3,0.228,2.24,20.7,0.024,0.101,0.063,9.2,9.2,0.519,0.559,0.248,0.254,98.37,97.48,81.23,97.48,0.121,3882,408,894,6.9,15.2,0.456,5,4,16,5,2,7,9,9,6,7,7,4,4,4,2,5,6,16,15,17,10,10,11,12,2,2,15,20,20,3,2,2,2,1,13,2019-20
4,203924,Jerami Grant,Jerami,1610612743,DEN,26.0,71,45,26,0.634,26.6,109.4,110.3,110.3,111.0,112.3,112.3,-1.6,-2.1,-2.1,0.068,1.4,10.2,0.031,0.099,0.065,7.3,7.2,0.555,0.591,0.177,0.182,99.99,99.03,82.53,99.03,0.083,3901,303,634,4.3,8.9,0.478,3,3,19,7,5,15,12,12,11,12,12,9,13,13,16,9,17,15,16,16,4,4,7,9,10,10,10,12,12,9,4,4,4,5,9,2019-20
7,1628966,Keita Bates-Diop,Keita,1610612743,DEN,24.0,7,2,5,0.286,14.0,114.0,115.4,115.4,121.5,119.5,119.5,-7.4,-4.1,-4.1,0.0,0.0,0.0,0.039,0.138,0.087,8.6,8.5,0.518,0.571,0.152,0.156,97.99,98.18,81.82,98.18,0.07,201,13,28,1.9,4.0,0.464,16,18,6,19,13,3,4,4,17,17,17,17,14,14,20,19,20,13,10,13,7,7,12,11,14,14,19,16,16,13,15,14,14,14,10,2019-20
9,203486,Mason Plumlee,Mason,1610612743,DEN,30.0,61,38,23,0.623,17.3,107.2,107.6,107.6,108.8,108.6,108.6,-1.6,-1.0,-1.0,0.21,1.88,25.9,0.087,0.195,0.141,13.8,13.8,0.615,0.613,0.173,0.178,101.36,101.26,84.38,101.26,0.12,2215,177,288,2.9,4.7,0.615,4,4,18,10,10,18,18,18,9,8,8,10,12,12,5,8,4,3,3,2,17,17,3,6,11,11,6,6,6,4,9,10,9,11,3,2019-20
10,1629008,Michael Porter Jr.,Michael,1610612743,DEN,22.0,55,36,19,0.655,16.4,111.8,113.0,113.0,113.7,112.4,112.4,-1.9,0.7,0.7,0.074,0.94,9.0,0.07,0.214,0.141,9.6,9.6,0.59,0.617,0.211,0.216,101.24,101.26,84.38,101.26,0.123,1909,195,383,3.5,7.0,0.509,9,9,12,4,11,6,8,8,13,13,13,11,11,11,14,16,18,8,2,3,11,11,4,4,3,3,7,7,7,2,8,8,8,9,5,2019-20
11,1628420,Monte Morris,Monte,1610612743,DEN,25.0,73,46,27,0.63,22.4,109.7,110.2,110.2,109.0,109.3,109.3,0.7,0.8,0.8,0.219,4.81,28.1,0.014,0.067,0.04,5.8,5.8,0.517,0.545,0.168,0.174,100.38,100.03,83.36,100.03,0.099,3422,260,566,3.6,7.8,0.459,1,1,20,8,7,12,13,13,10,10,10,7,10,10,3,1,2,19,21,20,2,2,13,15,12,12,9,9,9,7,5,5,7,7,12,2019-20
12,203999,Nikola Jokic,Nikola,1610612743,DEN,25.0,73,46,27,0.63,32.0,111.6,113.4,113.4,107.8,108.9,108.9,3.8,4.5,4.5,0.35,2.27,26.4,0.073,0.237,0.155,11.6,11.6,0.565,0.605,0.266,0.269,98.15,96.9,80.75,96.9,0.179,4733,565,1071,7.7,14.7,0.528,1,1,20,8,3,8,7,7,8,9,9,5,5,5,1,4,3,7,1,1,15,15,6,7,1,1,18,21,21,1,1,1,1,2,4,2019-20
13,203943,Noah Vonleh,Noah,1610612743,DEN,24.0,7,3,4,0.429,4.3,114.2,117.5,117.5,133.2,127.0,127.0,-19.0,-9.5,-9.5,0.105,1.0,16.7,0.083,0.179,0.125,16.7,17.0,0.917,0.838,0.133,0.134,98.91,99.8,83.17,99.8,0.091,63,5,6,0.7,0.9,0.833,16,16,4,18,20,2,3,3,21,21,21,20,19,19,8,13,8,4,4,4,18,18,1,1,16,17,13,11,11,8,18,19,17,20,1,2019-20
14,1628408,PJ Dozier,PJ,1610612743,DEN,23.0,29,18,11,0.621,14.2,109.5,109.4,109.4,115.0,115.2,115.2,-5.4,-5.7,-5.7,0.216,2.33,24.2,0.024,0.108,0.066,10.4,10.4,0.468,0.495,0.199,0.206,102.21,102.17,85.14,102.17,0.071,869,65,157,2.2,5.4,0.414,13,13,9,11,12,14,15,15,14,15,15,15,17,17,4,3,5,17,14,15,12,12,18,19,5,5,4,4,4,12,12,12,11,10,16,2019-20
15,200794,Paul Millsap,Paul,1610612743,DEN,35.0,51,30,21,0.588,24.3,112.6,113.7,113.7,104.4,104.5,104.5,8.1,9.3,9.3,0.093,1.19,12.7,0.079,0.157,0.118,10.8,10.7,0.543,0.591,0.197,0.201,98.32,97.82,81.52,97.82,0.102,2522,211,438,4.1,8.6,0.482,10,10,16,12,6,4,5,5,2,2,2,2,2,2,11,12,13,5,7,5,13,13,9,8,6,6,16,18,18,6,7,7,5,6,8,2019-20
16,1628470,Torrey Craig,Torrey,1610612743,DEN,29.0,58,38,20,0.655,18.5,107.9,107.6,107.6,113.4,113.3,113.3,-5.4,-5.7,-5.7,0.061,1.88,13.3,0.058,0.118,0.088,7.1,7.0,0.545,0.553,0.123,0.128,98.19,98.36,81.96,98.36,0.056,2174,124,269,2.1,4.6,0.461,6,4,14,2,8,16,17,17,12,14,14,14,16,16,17,7,11,9,13,12,3,3,8,13,19,19,17,15,15,18,10,11,12,13,11,2019-20
17,203584,Troy Daniels,Troy,1610612743,DEN,28.0,6,3,3,0.5,12.7,104.4,109.9,109.9,106.4,107.5,107.5,-2.1,2.4,2.4,0.059,1.0,8.8,0.0,0.077,0.036,8.8,8.8,0.464,0.464,0.161,0.163,104.08,100.85,84.04,100.85,0.036,161,10,28,1.7,4.7,0.357,19,16,3,15,14,19,14,14,5,6,6,12,7,7,18,13,19,21,20,21,8,8,19,20,13,13,2,8,8,21,16,14,15,12,19,2019-20
18,1629076,Tyler Cook,Tyler,1610612743,DEN,22.0,2,0,2,0.0,9.6,110.9,117.9,117.9,124.6,122.5,122.5,-13.7,-4.6,-4.6,0.0,0.0,0.0,0.1,0.091,0.095,40.0,41.0,0.5,0.694,0.114,0.11,101.18,98.92,82.43,98.92,0.059,39,1,2,0.5,1.0,0.5,21,21,1,21,17,10,2,2,19,19,19,19,15,15,20,19,20,2,17,10,20,20,14,3,20,20,8,13,13,16,21,21,19,19,6,2019-20
19,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,23.0,14,7,7,0.5,3.2,112.2,104.1,104.1,118.3,110.1,110.1,-6.2,-6.0,-6.0,0.086,1.0,13.0,0.109,0.119,0.114,13.0,13.2,0.433,0.507,0.177,0.192,96.25,103.57,86.31,103.57,0.052,97,6,15,0.4,1.1,0.4,14,14,8,15,21,5,20,20,15,11,11,16,18,18,13,13,12,1,12,6,16,16,20,18,9,9,21,2,2,19,17,17,21,18,17,2019-20
20,203115,Will Barton,Will,1610612743,DEN,29.0,58,38,20,0.655,33.0,111.2,112.7,112.7,105.6,106.9,106.9,5.6,5.8,5.8,0.157,2.41,19.4,0.04,0.147,0.094,8.0,8.0,0.523,0.549,0.197,0.201,99.29,97.97,81.65,97.97,0.109,3919,332,738,5.7,12.7,0.45,6,4,14,2,1,9,10,10,3,4,4,3,3,3,6,2,7,12,8,11,5,5,10,14,7,7,12,17,17,5,3,3,3,3,14,2019-20
0,1629164,Brandon Goodwin,Brandon,1610612743,DEN,23.0,16,10,6,0.625,3.6,110.2,107.2,107.2,102.7,99.2,99.2,7.5,8.0,8.0,0.298,4.67,31.1,0.016,0.038,0.026,6.7,6.7,0.304,0.413,0.22,0.231,101.14,104.32,86.94,104.32,0.046,125,6,23,0.4,1.4,0.261,14,13,5,16,16,7,11,11,2,3,3,3,2,2,3,3,2,16,17,17,4,4,17,17,6,6,5,6,6,16,16,13,17,14,18,2018-19
1,1629152,DeVaughn Akoon-Purcell,DeVaughn,1610612743,DEN,26.0,7,7,0,1.0,3.1,113.7,106.3,106.3,109.6,102.0,102.0,4.1,4.2,4.2,0.375,3.0,31.6,0.043,0.15,0.093,10.5,10.6,0.3,0.322,0.228,0.244,100.27,107.55,89.62,107.55,0.053,48,3,10,0.4,1.4,0.3,17,16,1,1,18,1,12,12,18,4,4,7,8,8,1,4,1,8,6,6,12,12,18,18,5,4,11,3,3,15,17,17,16,15,17,2018-19
2,203914,Gary Harris,Gary,1610612743,DEN,24.0,57,38,19,0.667,28.8,109.9,111.6,111.6,104.3,105.3,105.3,5.7,6.2,6.2,0.11,1.87,14.2,0.024,0.07,0.047,7.6,7.6,0.488,0.526,0.195,0.198,100.65,99.4,82.83,99.4,0.076,3401,270,637,4.7,11.2,0.424,10,10,9,6,3,8,5,5,4,8,8,5,3,3,11,9,13,12,15,15,5,5,12,11,7,8,8,15,15,11,6,6,3,3,12,2018-19
3,202738,Isaiah Thomas,Isaiah,1610612743,DEN,30.0,12,6,6,0.5,15.1,99.7,99.0,99.0,105.0,104.5,104.5,-5.3,-5.5,-5.5,0.198,1.28,15.1,0.023,0.04,0.031,11.8,11.9,0.404,0.437,0.274,0.284,106.36,107.0,89.17,107.0,0.039,403,34,99,2.8,8.3,0.343,15,17,5,18,12,17,15,15,5,6,6,16,17,17,8,16,11,13,16,16,14,14,16,16,1,1,3,4,4,17,12,12,10,8,15,2018-19
4,1627750,Jamal Murray,Jamal,1610612743,DEN,22.0,75,49,26,0.653,32.6,111.4,112.8,112.8,107.8,108.0,108.0,3.5,4.8,4.8,0.22,2.3,20.5,0.026,0.101,0.063,8.9,8.8,0.502,0.538,0.241,0.249,100.2,99.49,82.91,99.49,0.108,5074,513,1173,6.8,15.6,0.437,5,6,13,13,1,3,3,3,13,16,16,8,5,5,5,6,8,10,12,11,8,8,10,10,3,3,13,13,13,5,2,2,2,1,11,2018-19
5,1629020,Jarred Vanderbilt,Jarred,1610612743,DEN,20.0,17,10,7,0.588,4.1,102.3,96.9,96.9,94.1,92.5,92.5,8.2,4.5,4.5,0.064,0.38,8.6,0.084,0.205,0.143,22.9,23.3,0.474,0.513,0.179,0.186,107.47,111.35,92.79,111.35,0.085,162,9,19,0.5,1.1,0.474,13,13,7,17,14,16,18,18,1,1,1,1,6,6,16,18,18,3,2,3,18,18,14,12,11,11,1,2,2,9,13,14,15,17,7,2018-19
6,1627823,Juancho Hernangomez,Juancho,1610612743,DEN,23.0,70,44,26,0.629,19.4,107.6,108.6,108.6,107.0,107.3,107.3,0.6,1.3,1.3,0.054,1.49,12.5,0.044,0.144,0.093,8.4,8.3,0.545,0.58,0.119,0.122,100.22,99.61,83.01,99.61,0.076,2818,138,314,2.0,4.5,0.439,7,8,13,14,10,13,10,10,11,14,14,13,13,13,18,13,15,7,7,7,6,6,7,6,17,17,12,11,11,12,11,11,12,12,10,2018-19
7,1627736,Malik Beasley,Malik,1610612743,DEN,22.0,81,53,28,0.654,23.2,110.3,111.2,111.2,108.3,107.3,107.3,2.1,3.9,3.9,0.074,1.76,10.6,0.018,0.085,0.051,6.0,6.0,0.584,0.599,0.181,0.187,100.51,100.59,83.82,100.59,0.089,3929,349,737,4.3,9.1,0.474,3,3,16,12,7,6,6,6,14,13,13,11,9,9,15,10,17,14,13,12,3,3,4,3,10,10,9,9,9,8,3,3,5,6,8,2018-19
8,203486,Mason Plumlee,Mason,1610612743,DEN,29.0,82,54,28,0.659,21.1,108.9,109.3,109.3,106.9,106.1,106.1,2.1,3.2,3.2,0.199,1.93,27.0,0.091,0.198,0.144,14.0,14.0,0.595,0.602,0.159,0.164,99.38,99.6,83.0,99.6,0.115,3571,262,442,3.2,5.4,0.593,1,1,16,9,8,10,9,9,10,12,12,10,11,11,7,7,4,1,3,2,16,16,3,2,13,14,17,12,12,2,7,9,9,10,1,2018-19
9,1628420,Monte Morris,Monte,1610612743,DEN,24.0,82,54,28,0.659,24.0,108.7,109.4,109.4,105.7,105.1,105.1,3.1,4.3,4.3,0.221,5.71,27.4,0.017,0.078,0.047,4.8,4.8,0.56,0.577,0.168,0.173,99.2,99.16,82.63,99.16,0.113,4071,346,702,4.2,8.6,0.493,1,1,16,9,6,11,8,8,8,7,7,9,7,7,4,1,3,15,14,14,1,1,5,7,12,12,18,16,16,4,4,4,7,7,5,2018-19
10,201156,Nick Young,Nick,1610612743,DEN,34.0,4,3,1,0.75,9.3,98.8,98.7,98.7,105.3,103.8,103.8,-6.6,-5.1,-5.1,0.077,1.0,15.4,0.0,0.026,0.012,15.4,15.4,0.5,0.5,0.126,0.129,100.7,101.47,84.56,101.47,0.003,78,3,9,0.8,2.3,0.333,18,18,2,3,13,18,16,16,7,5,5,18,16,16,14,17,10,17,18,18,17,17,11,14,15,15,7,7,7,18,17,18,13,13,16,2018-19
11,203999,Nikola Jokic,Nikola,1610612743,DEN,24.0,80,53,27,0.663,31.3,111.3,113.3,113.3,107.0,107.5,107.5,4.3,5.8,5.8,0.361,2.34,26.5,0.089,0.249,0.169,11.4,11.3,0.545,0.589,0.271,0.274,99.51,98.4,82.0,98.4,0.188,5140,616,1206,7.7,15.1,0.511,4,3,15,8,2,4,2,2,12,15,15,6,4,4,2,5,5,2,1,1,13,13,6,5,2,2,16,18,18,1,1,1,1,2,3,2018-19
12,200794,Paul Millsap,Paul,1610612743,DEN,34.0,70,49,21,0.7,27.1,112.8,114.0,114.0,105.1,105.4,105.4,7.7,8.6,8.6,0.104,1.48,13.9,0.078,0.182,0.13,9.4,9.4,0.528,0.57,0.191,0.195,100.08,99.44,82.87,99.44,0.113,3927,322,665,4.6,9.5,0.484,7,6,10,5,5,2,1,1,6,9,9,2,1,1,12,14,14,4,4,4,9,9,8,8,9,9,14,14,14,3,5,5,4,5,6,2018-19
13,1629118,Thomas Welsh,Thomas,1610612743,DEN,23.0,11,8,3,0.727,3.3,109.9,100.0,100.0,103.3,97.7,97.7,6.6,2.3,2.3,0.2,5.0,25.0,0.0,0.114,0.047,5.0,5.0,0.654,0.648,0.153,0.165,106.74,115.02,95.85,115.02,0.106,87,7,13,0.6,1.2,0.538,16,15,3,4,17,9,14,14,3,2,2,4,12,12,6,2,6,17,10,13,2,2,1,1,14,13,2,1,1,6,15,16,14,16,2,2018-19
14,1628470,Torrey Craig,Torrey,1610612743,DEN,28.0,75,50,25,0.667,20.0,110.9,112.0,112.0,108.8,108.7,108.7,2.1,3.3,3.3,0.062,1.64,14.2,0.057,0.112,0.084,8.7,8.6,0.526,0.547,0.121,0.124,99.52,99.05,82.54,99.05,0.055,3088,160,362,2.1,4.8,0.442,5,5,12,6,9,5,4,4,16,17,17,12,10,10,17,11,12,6,11,9,7,7,9,9,16,16,15,17,17,14,10,10,11,11,9,2018-19
15,1626168,Trey Lyles,Trey,1610612743,DEN,23.0,64,42,22,0.656,17.5,105.2,105.7,105.7,106.4,105.7,105.7,-1.1,0.0,0.0,0.116,1.28,12.4,0.036,0.172,0.103,9.7,9.7,0.47,0.5,0.229,0.236,100.76,100.85,84.04,100.85,0.094,2354,207,495,3.2,7.7,0.418,9,9,11,11,11,14,13,13,9,10,10,15,15,15,10,15,16,9,5,5,11,11,15,15,4,5,6,8,8,7,8,7,8,9,13,2018-19
16,1628399,Tyler Lydon,Tyler,1610612743,DEN,23.0,25,20,5,0.8,3.7,103.5,97.6,97.6,109.5,105.9,105.9,-6.0,-8.3,-8.3,0.087,1.5,20.7,0.062,0.133,0.092,13.8,13.6,0.611,0.595,0.097,0.105,100.48,105.2,87.67,105.2,0.057,208,9,18,0.4,0.7,0.5,12,12,4,2,15,15,17,17,17,11,11,17,18,18,13,12,7,5,9,8,15,15,2,4,18,18,10,5,5,13,13,15,18,18,4,2018-19
17,203115,Will Barton,Will,1610612743,DEN,28.0,43,27,16,0.628,27.7,108.3,109.7,109.7,108.3,109.1,109.1,-0.1,0.6,0.6,0.146,1.91,18.3,0.026,0.137,0.081,9.6,9.5,0.475,0.501,0.195,0.2,101.15,100.16,83.47,100.16,0.08,2477,185,460,4.3,10.7,0.402,11,11,8,15,4,12,7,7,15,18,18,14,14,14,9,8,9,11,8,10,10,10,13,13,8,7,4,10,10,10,9,8,6,4,14,2018-19
0,201589,Darrell Arthur,Darrell,1610612743,DEN,30.0,19,12,7,0.632,7.4,100.6,99.7,99.7,112.8,110.1,110.1,-12.2,-10.5,-10.5,0.101,0.6,12.5,0.021,0.087,0.054,20.8,20.7,0.553,0.559,0.188,0.199,102.46,104.17,86.81,104.17,0.039,305,22,47,1.2,2.5,0.468,16,15,3,3,17,17,16,16,17,12,12,16,15,15,12,17,14,12,13,13,18,18,6,9,8,8,2,1,1,17,15,15,16,15,7,2017-18
1,2734,Devin Harris,Devin,1610612743,DEN,35.0,27,17,10,0.63,19.7,110.5,110.8,110.8,112.6,111.6,111.6,-2.1,-0.8,-0.8,0.175,2.48,23.3,0.006,0.07,0.038,9.4,9.3,0.509,0.568,0.173,0.18,100.75,101.08,84.23,101.08,0.071,1121,69,170,2.6,6.3,0.406,13,12,4,4,7,5,5,5,15,16,16,11,9,9,5,3,4,16,16,17,7,7,13,7,10,9,5,5,5,12,12,11,10,9,15,2017-18
3,203914,Gary Harris,Gary,1610612743,DEN,23.0,67,37,30,0.552,34.4,110.7,111.7,111.7,107.5,108.2,108.2,3.3,3.5,3.5,0.128,1.63,15.0,0.016,0.061,0.039,9.2,9.2,0.57,0.597,0.204,0.208,99.16,98.41,82.01,98.41,0.098,4729,440,908,6.6,13.6,0.485,7,7,12,14,1,4,4,4,3,6,6,4,4,4,10,8,11,14,17,16,5,5,3,3,6,6,9,13,13,8,4,4,2,1,6,2017-18
4,1627750,Jamal Murray,Jamal,1610612743,DEN,21.0,81,46,35,0.568,31.7,113.0,113.9,113.9,109.7,110.2,110.2,3.3,3.7,3.7,0.159,1.59,17.1,0.033,0.087,0.06,10.8,10.6,0.529,0.576,0.223,0.231,98.37,97.75,81.46,97.75,0.096,5237,479,1062,5.9,13.1,0.451,1,1,17,9,5,1,2,2,10,13,13,3,3,3,6,9,8,9,14,10,13,12,7,6,3,3,14,16,16,9,2,1,3,3,11,2017-18
5,1627823,Juancho Hernangomez,Juancho,1610612743,DEN,22.0,25,15,10,0.6,11.1,106.8,105.1,105.1,111.2,109.2,109.2,-4.4,-4.2,-4.2,0.06,1.33,11.9,0.062,0.139,0.098,8.9,8.9,0.48,0.511,0.134,0.138,97.72,99.44,82.86,99.44,0.061,574,29,75,1.2,3.0,0.387,14,14,4,5,13,11,11,11,13,10,10,12,12,12,16,13,16,5,6,7,4,4,16,14,15,15,17,9,9,13,14,14,15,13,17,2017-18
6,202702,Kenneth Faried,Kenneth,1610612743,DEN,28.0,32,16,16,0.5,14.4,103.9,103.2,103.2,108.6,108.1,108.1,-4.6,-5.0,-5.0,0.064,0.78,8.5,0.135,0.193,0.162,10.8,10.9,0.514,0.552,0.173,0.178,98.15,98.71,82.26,98.71,0.108,950,76,148,2.4,4.6,0.514,12,13,7,17,12,14,13,13,7,4,4,13,13,13,15,16,17,1,3,2,14,14,11,10,9,10,15,11,11,5,10,12,11,11,3,2017-18
7,1627736,Malik Beasley,Malik,1610612743,DEN,21.0,62,34,28,0.548,9.4,106.3,104.3,104.3,107.3,105.3,105.3,-1.1,-1.0,-1.0,0.077,1.29,12.6,0.023,0.095,0.058,9.8,9.7,0.489,0.509,0.151,0.159,100.98,102.96,85.8,102.96,0.06,1243,73,178,1.2,2.9,0.41,8,8,11,15,14,12,12,12,2,1,1,8,10,10,14,14,13,11,12,12,8,8,14,15,12,12,4,3,3,14,11,10,14,14,14,2017-18
8,203486,Mason Plumlee,Mason,1610612743,DEN,28.0,74,40,34,0.541,19.5,107.1,107.5,107.5,108.8,108.2,108.2,-1.7,-0.7,-0.7,0.145,1.39,20.6,0.092,0.182,0.138,14.8,14.8,0.601,0.586,0.161,0.166,99.89,99.99,83.32,99.99,0.098,2984,221,368,3.0,5.0,0.601,4,6,16,16,8,10,10,10,8,5,5,9,8,8,7,12,7,2,4,3,17,17,2,5,11,11,6,8,8,7,7,8,9,10,2,2017-18
9,1628420,Monte Morris,Monte,1610612743,DEN,23.0,3,2,1,0.667,8.4,102.8,100.0,100.0,112.6,114.8,114.8,-9.9,-14.8,-14.8,0.368,7.0,46.7,0.0,0.08,0.041,6.7,6.7,0.667,0.727,0.136,0.139,103.04,103.46,86.22,103.46,0.167,55,4,6,1.3,2.0,0.667,17,17,2,2,15,15,15,15,16,17,17,15,17,17,1,1,1,17,15,15,2,2,1,1,14,14,1,2,2,2,17,17,13,16,1,2017-18
10,203999,Nikola Jokic,Nikola,1610612743,DEN,23.0,75,43,32,0.573,32.6,112.6,114.0,114.0,108.0,107.8,107.8,4.6,6.2,6.2,0.286,2.18,25.3,0.081,0.254,0.168,11.6,11.6,0.554,0.603,0.238,0.242,98.04,97.52,81.27,97.52,0.169,4983,504,1010,6.7,13.5,0.499,3,3,13,7,3,2,1,1,4,2,2,1,1,1,2,5,3,3,1,1,15,15,5,2,1,1,16,17,17,1,1,3,1,2,4,2017-18
