,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,SEASON_ID
12,203999,Nikola Jokic,Nikola,1610612743,DEN,28.0,69,48,21,0.696,33.7,122.7,124.2,124.2,110.8,111.6,111.6,11.9,12.5,12.5,0.412,2.74,32.1,0.08,0.283,0.186,11.7,11.6,0.66,0.701,0.263,0.268,101.4,100.42,83.68,100.42,0.211,4873,646,1022,9.4,14.8,0.632,4,4,10,2,1,1,1,1,7,9,9,1,1,1,1,2,2,6,1,1,15,15,2,2,2,2,3,5,5,1,1,2,1,2,2,2022-23
13,1631212,Peyton Watson,Peyton,1610612743,DEN,20.0,23,13,10,0.565,8.1,103.0,101.6,101.6,115.1,113.5,113.5,-12.0,-12.0,-12.0,0.087,1.38,12.6,0.043,0.139,0.093,9.2,9.2,0.542,0.553,0.174,0.179,97.55,98.91,82.42,98.91,0.087,383,29,59,1.3,2.6,0.492,15,15,4,17,17,14,14,14,16,14,14,17,15,15,13,13,15,7,7,7,7,7,10,12,9,9,16,13,13,8,16,17,15,16,6,2022-23
14,202704,Reggie Jackson,Reggie,1610612743,DEN,33.0,16,8,8,0.5,19.9,107.3,107.6,107.6,114.7,114.7,114.7,-7.3,-7.1,-7.1,0.237,2.63,24.6,0.009,0.078,0.042,9.4,9.4,0.457,0.476,0.203,0.209,98.1,97.99,81.65,97.99,0.068,649,49,128,3.1,8.0,0.383,18,18,3,18,7,11,9,9,15,15,15,11,11,11,5,3,3,18,17,18,9,9,16,16,6,5,15,17,17,15,14,13,8,8,17,2022-23
15,1628418,Thomas Bryant,Thomas,1610612743,DEN,25.0,18,12,6,0.667,11.4,100.0,96.0,96.0,111.5,111.0,111.0,-11.4,-15.0,-15.0,0.016,0.2,2.3,0.087,0.19,0.138,11.5,11.4,0.515,0.547,0.178,0.191,96.54,98.76,82.3,98.76,0.083,425,33,68,1.8,3.8,0.485,16,17,2,4,14,16,17,17,9,5,5,15,18,18,18,18,18,2,3,3,14,13,13,13,8,8,17,14,14,10,15,16,13,12,9,2022-23
16,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,26.0,60,38,22,0.633,14.8,109.1,109.1,109.1,113.0,113.1,113.1,-3.9,-3.9,-3.9,0.125,2.16,22.2,0.027,0.119,0.073,10.2,10.2,0.57,0.606,0.134,0.139,99.6,99.56,82.97,99.56,0.076,1847,108,227,1.8,3.8,0.476,8,8,12,13,12,8,8,8,13,13,13,8,7,7,8,6,6,13,9,12,11,11,6,6,15,16,12,9,9,11,11,10,14,11,11,2022-23
17,1630192,Zeke Nnaji,Zeke,1610612743,DEN,22.0,53,34,19,0.642,13.7,101.9,101.5,101.5,107.6,107.4,107.4,-5.7,-5.9,-5.9,0.04,0.58,6.6,0.087,0.099,0.093,11.4,11.4,0.605,0.62,0.149,0.155,98.14,98.4,82.0,98.4,0.072,1488,110,196,2.1,3.7,0.561,10,9,9,12,13,15,15,15,1,2,2,10,10,10,17,17,16,3,13,8,13,14,3,4,12,12,14,16,16,13,10,11,11,13,4,2022-23
0,203932,Aaron Gordon,Aaron,1610612743,DEN,26.0,75,46,29,0.613,31.7,115.4,117.3,117.3,110.5,111.1,111.1,4.9,6.2,6.2,0.109,1.41,15.0,0.057,0.129,0.095,10.6,10.6,0.573,0.602,0.194,0.197,100.1,99.0,82.5,99.0,0.096,4908,434,834,5.8,11.1,0.52,1,1,18,4,3,3,3,3,11,16,16,4,3,3,13,13,12,6,12,8,15,16,8,7,8,11,10,19,19,6,2,3,2,4,5,2021-22
1,203085,Austin Rivers,Austin,1610612743,DEN,29.0,67,41,26,0.612,22.1,113.5,113.0,113.0,111.1,111.1,111.1,2.4,1.9,1.9,0.082,1.67,17.6,0.014,0.063,0.039,10.5,10.5,0.53,0.546,0.123,0.127,98.66,98.91,82.43,98.91,0.043,3047,146,350,2.2,5.2,0.417,7,5,14,5,7,6,9,9,15,14,14,8,9,9,17,10,11,17,20,19,14,15,12,16,20,20,21,20,20,20,8,7,12,11,15,2021-22
3,1630538,Bones Hyland,Bones,1610612743,DEN,21.0,69,41,28,0.594,19.0,113.1,113.4,113.4,112.5,111.7,111.7,0.7,1.7,1.7,0.22,2.22,21.2,0.011,0.133,0.072,9.6,9.5,0.518,0.558,0.231,0.238,99.64,99.84,83.2,99.84,0.096,2722,230,571,3.3,8.3,0.403,6,5,16,7,8,8,7,7,18,18,18,11,11,11,4,6,8,19,10,14,12,12,15,14,4,4,14,11,11,5,6,5,7,6,16,2021-22
4,1627854,Bryn Forbes,Bryn,1610612743,DEN,28.0,35,23,12,0.657,17.4,113.3,113.9,113.9,110.3,110.0,110.0,2.9,4.0,4.0,0.081,1.48,10.8,0.01,0.039,0.025,7.3,7.3,0.545,0.578,0.19,0.197,101.77,101.65,84.71,101.65,0.06,1298,103,243,2.9,6.9,0.424,12,12,10,2,11,7,6,6,10,8,8,6,7,7,18,11,19,20,21,21,6,6,10,10,10,9,5,7,7,18,10,10,9,8,14,2021-22
