,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON_ID
15,203999,Nikola Jokic,1610612743,DEN,27.0,6-11,83,284,None,Serbia,2014,2,41,74,27.1,13.8,7.9,8.4,0.09,0.313,0.309,0.661,0.388,2021-22
16,1628408,PJ Dozier,1610612743,DEN,25.0,6-6,78,205,South Carolina,USA,Undrafted,Undrafted,Undrafted,18,5.4,3.5,1.6,-12.9,0.038,0.144,0.147,0.463,0.135,2021-22
17,1627822,Petr Cornelie,1610612743,DEN,26.0,6-11,83,220,None,France,2016,2,53,13,1.1,1.1,0.2,5.8,0.159,0.219,0.208,0.418,0.115,2021-22
19,1628427,Vlatko Cancar,1610612743,DEN,25.0,6-8,80,236,None,Slovenia,2017,2,49,15,4.1,2.1,1.1,0.8,0.041,0.133,0.131,0.657,0.139,2021-22
20,203115,Will Barton,1610612743,DEN,31.0,6-5,77,181,Memphis,USA,2012,2,40,71,14.7,4.8,3.9,2.0,0.02,0.128,0.205,0.548,0.171,2021-22
21,1630192,Zeke Nnaji,1610612743,DEN,21.0,6-9,81,240,Arizona,USA,2020,1,22,41,6.6,3.6,0.4,-3.2,0.077,0.141,0.146,0.629,0.037,2021-22
0,203932,Aaron Gordon,1610612743,DEN,25.0,6-8,80,235,Arizona,USA,2014,1,4,25,10.2,4.7,2.2,7.8,0.063,0.123,0.167,0.564,0.111,2020-21
1,203085,Austin Rivers,1610612743,DEN,28.0,6-4,76,200,Duke,USA,2012,1,10,15,8.7,2.3,2.6,5.4,0.007,0.083,0.137,0.558,0.127,2020-21
2,1629626,Bol Bol,1610612743,DEN,21.0,7-2,86,220,Oregon,Sudan,2019,2,44,32,2.2,0.8,0.2,-24.9,0.0,0.154,0.191,0.534,0.067,2020-21
3,1630267,Facundo Campazzo,1610612743,DEN,30.0,5-10,70,195,None,Argentina,Undrafted,Undrafted,Undrafted,65,6.1,2.1,3.6,2.8,0.015,0.081,0.128,0.558,0.215,2020-21
6,204222,Greg Whittington,1610612743,DEN,28.0,6-8,80,210,Georgetown,USA,Undrafted,Undrafted,Undrafted,4,0.0,0.0,0.0,33.3,0.0,0.0,0.103,0.0,0.0,2020-21
8,203210,JaMychal Green,1610612743,DEN,31.0,6-8,80,227,Alabama,USA,Undrafted,Undrafted,Undrafted,58,8.1,4.8,0.9,4.1,0.072,0.177,0.172,0.59,0.07,2020-21
9,201580,JaVale McGee,1610612743,DEN,33.0,7-0,84,270,Nevada,USA,2008,1,18,13,5.5,5.3,0.5,4.6,0.124,0.234,0.203,0.498,0.054,2020-21
10,1627750,Jamal Murray,1610612743,DEN,24.0,6-3,75,215,Kentucky,Canada,2016,1,7,48,21.2,4.0,4.8,8.0,0.023,0.095,0.244,0.592,0.197,2020-21
11,1630210,Markus Howard,1610612743,DEN,22.0,5-10,70,175,Marquette,USA,Undrafted,Undrafted,Undrafted,37,2.8,0.6,0.5,-17.0,0.004,0.095,0.25,0.477,0.145,2020-21
12,1629008,Michael Porter Jr.,1610612743,DEN,23.0,6-10,82,218,Missouri,USA,2018,1,14,61,19.0,7.3,1.1,8.3,0.051,0.189,0.214,0.663,0.052,2020-21
13,1628420,Monte Morris,1610612743,DEN,26.0,6-2,74,183,Iowa State,USA,2017,2,51,47,10.2,2.0,3.2,6.2,0.009,0.071,0.161,0.574,0.172,2020-21
14,203999,Nikola Jokic,1610612743,DEN,26.0,6-11,83,284,None,Serbia,2014,2,41,72,26.4,10.8,8.3,7.7,0.087,0.237,0.293,0.647,0.377,2020-21
15,1628408,PJ Dozier,1610612743,DEN,24.0,6-6,78,205,South Carolina,USA,Undrafted,Undrafted,Undrafted,50,7.7,3.6,1.8,9.5,0.031,0.133,0.166,0.501,0.116,2020-21
16,200794,Paul Millsap,1610612743,DEN,36.0,6-7,79,257,Louisiana Tech,USA,2006,2,47,56,9.0,4.7,1.8,4.7,0.067,0.167,0.184,0.565,0.113,2020-21
18,1627885,Shaquille Harrison,1610612743,DEN,27.0,6-7,79,190,Tulsa,USA,Undrafted,Undrafted,Undrafted,17,3.3,2.3,0.9,-2.5,0.014,0.123,0.108,0.431,0.078,2020-21
19,1628427,Vlatko Cancar,1610612743,DEN,24.0,6-8,80,236,None,Slovenia,2017,2,49,41,2.1,1.2,0.3,-17.5,0.035,0.136,0.132,0.547,0.073,2020-21
