,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON_ID
12,2210,Richard Jefferson,1610612743,DEN,38.0,20,8.2,2.2,1.0,1.2,0.25,0.0,0.15,0.3,0.1,0.2,0.3,0.333,0.667,0.15,0.85,1.0,0.3,0.05,0.15,0.85,0.6,0.1,2017-18
13,1628470,Torrey Craig,1610612743,DEN,27.0,39,16.1,4.74,2.82,1.92,0.44,0.0,0.05,0.1,0.13,0.28,0.41,0.313,0.688,0.13,1.51,1.64,0.95,0.33,0.078,0.922,0.902,0.317,2017-18
14,1626168,Trey Lyles,1610612743,DEN,22.0,73,19.1,6.41,4.22,2.19,0.64,0.05,0.92,2.11,0.16,0.33,0.49,0.333,0.667,0.45,3.41,3.86,1.84,0.73,0.117,0.883,0.899,0.356,2017-18
15,1628399,Tyler Lydon,1610612743,DEN,22.0,1,2.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
16,203115,Will Barton,1610612743,DEN,27.0,81,33.1,6.14,3.42,2.72,1.78,0.0,0.06,0.16,0.47,0.53,1.0,0.469,0.531,0.04,0.72,0.75,0.37,0.09,0.049,0.951,0.789,0.184,2017-18
17,201163,Wilson Chandler,1610612743,DEN,31.0,74,31.7,6.82,3.78,3.04,0.99,0.0,0.2,0.41,0.36,0.72,1.08,0.338,0.663,0.61,1.84,2.45,1.2,0.46,0.249,0.751,0.84,0.321,2017-18
0,202087,Alonzo Gee,1610612743,DEN,30.0,13,6.9,1.54,0.85,0.69,0.62,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1,201568,Danilo Gallinari,1610612743,DEN,28.0,63,33.9,8.0,4.57,3.43,1.14,0.13,0.32,0.73,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
2,201589,Darrell Arthur,1610612743,DEN,29.0,41,15.6,5.27,3.93,1.34,1.32,0.02,1.24,2.95,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3,1626144,Emmanuel Mudiay,1610612743,DEN,21.0,55,25.6,5.04,2.78,2.25,1.16,0.02,0.18,0.36,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4,203914,Gary Harris,1610612743,DEN,22.0,57,31.3,4.7,2.25,2.46,2.81,0.0,0.11,0.23,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5,1627750,Jamal Murray,1610612743,DEN,20.0,82,21.5,5.6,3.34,2.26,1.15,0.06,0.1,0.21,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
6,2749,Jameer Nelson,1610612743,DEN,35.0,75,27.3,4.68,2.52,2.16,1.21,0.07,0.24,0.51,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7,203950,Jarnell Stokes,1610612743,DEN,23.0,2,3.3,1.0,1.0,0.0,0.0,0.0,1.0,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9,1627823,Juancho Hernangomez,1610612743,DEN,21.0,62,13.6,4.74,3.08,1.66,0.68,0.0,0.29,0.68,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
11,202702,Kenneth Faried,1610612743,DEN,27.0,61,21.2,6.57,4.92,1.66,1.26,0.33,1.79,4.13,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
12,1627736,Malik Beasley,1610612743,DEN,20.0,22,7.5,1.55,0.73,0.82,0.59,0.05,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
13,203486,Mason Plumlee,1610612743,DEN,27.0,27,23.4,9.07,7.26,1.81,1.78,0.07,3.26,7.52,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
14,2034,Mike Miller,1610612743,DEN,37.0,20,7.5,0.95,0.45,0.5,0.15,0.0,0.55,1.3,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
15,203999,Nikola Jokic,1610612743,DEN,22.0,73,27.9,11.25,9.38,1.86,1.78,0.0,3.49,7.93,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
16,201579,Roy Hibbert,1610612743,DEN,30.0,6,1.8,1.5,1.5,0.0,0.17,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
17,203115,Will Barton,1610612743,DEN,26.0,60,28.4,5.5,3.37,2.13,1.6,0.0,0.07,0.15,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
18,201163,Wilson Chandler,1610612743,DEN,30.0,71,30.9,8.18,4.77,3.41,1.45,0.0,0.48,1.08,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
0,1626253,Axel Toupane,1610612743,DEN,23.0,21,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
1,201571,D.J. Augustin,1610612743,DEN,28.0,28,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
2,201568,Danilo Gallinari,1610612743,DEN,27.0,53,34.7,0.13,0.09,0.04,0.06,0.04,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
3,201589,Darrell Arthur,1610612743,DEN,28.0,70,21.7,0.13,0.1,0.03,0.01,0.0,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
4,1626144,Emmanuel Mudiay,1610612743,DEN,20.0,68,30.4,0.09,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
5,203475,Erick Green,1610612743,DEN,25.0,3,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
6,203914,Gary Harris,1610612743,DEN,21.0,76,32.1,0.08,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
8,203960,JaKarr Sampson,1610612743,DEN,23.0,26,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
9,2749,Jameer Nelson,1610612743,DEN,34.0,39,26.6,0.15,0.1,0.05,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
10,203530,Joffrey Lauvergne,1610612743,DEN,24.0,59,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
11,203994,Jusuf Nurkic,1610612743,DEN,21.0,32,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
12,202702,Kenneth Faried,1610612743,DEN,26.0,67,25.3,0.06,0.06,0.0,0.0,0.0,0.04,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
13,203123,Kostas Papanikolaou,1610612743,DEN,25.0,26,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
14,2034,Mike Miller,1610612743,DEN,36.0,47,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
15,203999,Nikola Jokic,1610612743,DEN,21.0,80,21.7,0.11,0.11,0.0,0.0,0.0,0.04,0.09,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
18,203115,Will Barton,1610612743,DEN,25.0,82,28.7,0.05,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
