,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON_ID
7,202326,DeMarcus Cousins,1610612743,DEN,31.0,31,13.9,4.81,3.29,1.52,1.35,0.16,1.65,4.03,0.23,0.16,0.39,0.583,0.417,0.48,0.52,1.0,0.94,0.9,0.484,0.516,0.935,0.903,2021-22
8,1630267,Facundo Campazzo,1610612743,DEN,31.0,65,18.2,2.26,1.15,1.11,1.97,0.12,0.12,0.28,0.28,0.23,0.51,0.545,0.455,0.0,0.15,0.15,0.12,0.06,0.0,1.0,0.889,0.444,2021-22
9,203210,JaMychal Green,1610612743,DEN,32.0,67,16.2,3.84,2.31,1.52,1.18,0.09,1.22,3.09,0.03,0.12,0.15,0.2,0.8,0.46,0.9,1.36,1.06,0.63,0.341,0.659,0.899,0.532,2021-22
10,203516,James Ennis III,1610612743,DEN,31.0,3,4.6,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,1.0,0.0,1.0,1.0,2021-22
11,201145,Jeff Green,1610612743,DEN,35.0,75,24.7,6.39,3.52,2.87,0.57,0.15,0.72,1.79,0.08,0.16,0.24,0.333,0.667,0.05,0.61,0.67,0.55,0.2,0.08,0.92,0.932,0.341,2021-22
12,1630210,Markus Howard,1610612743,DEN,23.0,31,5.7,0.68,0.1,0.58,0.16,0.1,0.03,0.1,0.03,0.0,0.03,1.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,1.0,1.0,0.0,2021-22
13,1629008,Michael Porter Jr.,1610612743,DEN,24.0,9,29.5,4.44,2.22,2.22,2.56,0.0,0.44,1.0,0.22,0.11,0.33,0.667,0.333,0.22,0.0,0.22,0.22,0.22,1.0,0.0,1.0,1.0,2021-22
14,1628420,Monte Morris,1610612743,DEN,27.0,75,29.9,3.79,1.77,2.01,1.16,0.03,0.44,1.04,0.27,0.31,0.57,0.465,0.535,0.0,0.24,0.24,0.21,0.04,0.0,1.0,0.941,0.176,2021-22
15,203999,Nikola Jokic,1610612743,DEN,27.0,74,33.5,12.19,9.34,2.85,2.85,0.03,3.19,7.04,0.36,0.26,0.62,0.587,0.413,0.88,2.45,3.32,3.08,2.23,0.264,0.736,0.97,0.702,2021-22
16,1628408,PJ Dozier,1610612743,DEN,25.0,18,18.9,4.0,1.83,2.17,0.89,0.11,0.06,0.11,0.06,0.28,0.33,0.167,0.833,0.06,0.11,0.17,0.17,0.11,0.333,0.667,1.0,0.667,2021-22
