,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,SEASON_ID
2,1629626,Bol Bol,Bol,1610612753,ORL,22.0,14,5,9,0.357,5.8,101.7,1.1,0.211,0.271,0.1,0.059,0.1,0.667,2.6,1.0,1.9,4.3,0.032,17,17,6,19,18,3,16,4,4,20,19,15,1,4,3,6,4,16,2021-22
3,1630538,Bones Hyland,Bones,1610612743,DEN,21.0,69,41,28,0.594,19.0,111.7,2.5,0.133,0.194,0.6,0.205,0.3,0.204,6.4,4.7,5.2,19.5,0.048,6,5,16,7,8,18,10,10,9,10,9,10,9,13,15,15,15,13,2021-22
4,1627854,Bryn Forbes,Bryn,1610612743,DEN,28.0,35,23,12,0.657,17.4,110.0,0.7,0.039,0.054,0.2,0.079,0.1,0.043,6.3,4.0,4.3,16.8,0.054,12,12,10,2,11,8,18,21,21,17,18,18,18,12,11,11,12,10,2021-22
5,1630637,Carlik Jones,Carlik,1610612743,DEN,24.0,2,1,1,0.5,2.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.057,22,20,1,16,22,22,22,22,22,21,21,19,19,2,1,1,1,22,2021-22
6,1628432,Davon Reed,Davon,1610612743,DEN,27.0,48,29,19,0.604,13.9,109.5,2.0,0.14,0.193,0.5,0.216,0.2,0.18,4.9,3.3,3.5,13.7,0.045,10,10,13,6,14,6,12,9,10,12,8,13,13,7,8,8,9,15,2021-22
7,202326,DeMarcus Cousins,DeMarcus,1610612743,DEN,31.0,31,22,9,0.71,13.9,113.1,3.9,0.29,0.404,0.6,0.302,0.4,0.419,5.2,3.0,4.6,13.5,0.03,13,13,6,1,15,20,5,2,2,8,3,4,2,8,7,13,8,17,2021-22
8,1630267,Facundo Campazzo,Facundo,1610612743,DEN,31.0,65,38,27,0.585,18.2,110.7,1.4,0.08,0.114,1.0,0.325,0.4,0.235,6.7,4.2,4.0,17.3,0.051,9,8,15,11,10,13,14,18,17,3,1,7,7,14,13,9,13,11,2021-22
9,203210,JaMychal Green,JaMychal,1610612743,DEN,32.0,67,36,31,0.537,16.2,110.3,3.0,0.187,0.268,0.6,0.243,0.4,0.299,6.0,3.8,4.3,16.2,0.048,7,9,20,15,13,9,6,5,5,7,5,5,4,11,10,10,10,14,2021-22
10,203516,James Ennis III,James,1610612743,DEN,31.0,3,1,2,0.333,4.6,111.1,0.3,0.083,0.1,0.0,0.0,0.0,0.0,2.7,1.0,1.7,4.0,0.012,20,20,2,20,20,15,20,17,18,21,21,19,19,5,3,4,3,21,2021-22
11,201145,Jeff Green,Jeff,1610612743,DEN,35.0,75,44,31,0.587,24.7,111.5,2.5,0.1,0.14,0.4,0.104,0.4,0.181,9.0,6.1,6.5,25.8,0.064,1,3,20,8,6,17,9,15,15,14,17,6,12,17,17,17,17,6,2021-22
12,1630210,Markus Howard,Markus,1610612743,DEN,23.0,31,17,14,0.548,5.7,112.8,0.3,0.064,0.094,0.3,0.281,0.0,0.0,1.4,1.3,1.7,6.0,0.013,13,14,11,14,19,19,21,19,19,16,4,19,19,3,5,5,5,20,2021-22
13,1629008,Michael Porter Jr.,Michael,1610612743,DEN,24.0,9,5,4,0.556,29.4,94.7,5.6,0.172,0.236,1.1,0.238,0.2,0.087,10.3,6.3,7.2,31.6,0.223,19,17,4,13,5,1,2,6,6,2,6,11,15,18,18,18,18,1,2021-22
14,1628420,Monte Morris,Monte,1610612743,DEN,27.0,75,44,31,0.587,29.9,110.4,2.7,0.087,0.12,0.7,0.184,0.2,0.084,10.4,6.8,7.5,32.0,0.087,1,3,20,8,4,10,8,16,16,6,10,14,16,19,19,19,19,4,2021-22
15,203999,Nikola Jokic,Nikola,1610612743,DEN,27.0,74,46,28,0.622,33.5,108.9,11.0,0.313,0.429,1.5,0.309,0.9,0.348,12.2,7.9,8.4,35.2,0.113,4,1,16,3,1,5,1,1,1,1,2,1,3,22,22,21,22,2,2021-22
16,1628408,PJ Dozier,PJ,1610612743,DEN,25.0,18,9,9,0.5,18.9,109.5,2.7,0.144,0.208,0.6,0.183,0.3,0.182,7.4,4.2,5.2,18.1,0.06,15,15,6,16,9,7,7,7,7,9,11,8,11,15,14,14,14,7,2021-22
17,1627822,Petr Cornelie,Petr,1610612743,DEN,26.0,13,3,10,0.231,2.9,96.5,0.5,0.219,0.28,0.1,0.143,0.1,0.2,0.9,0.8,1.0,3.1,0.022,18,19,9,22,21,2,19,3,3,19,14,17,10,1,2,2,2,18,2021-22
18,1629730,Rayjon Tucker,Rayjon,1610612749,MIL,24.0,3,1,2,0.333,9.8,114.5,1.0,0.103,0.176,0.3,0.167,0.0,0.0,5.7,4.0,1.3,11.3,0.019,20,20,2,20,17,21,17,14,14,15,13,19,19,9,11,3,7,19,2021-22
19,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,25.0,15,7,8,0.467,11.8,104.1,1.5,0.133,0.187,0.1,0.057,0.2,0.214,3.4,2.5,2.7,10.9,0.059,16,16,5,18,16,4,13,11,11,18,20,12,8,6,6,7,6,9,2021-22
20,203115,Will Barton,Will,1610612743,DEN,31.0,71,41,30,0.577,32.1,110.4,4.2,0.128,0.179,0.8,0.17,0.4,0.17,11.3,7.5,8.8,34.7,0.093,5,5,19,12,2,12,4,13,12,4,12,3,14,20,21,22,21,3,2021-22
21,1630192,Zeke Nnaji,Zeke,1610612743,DEN,21.0,41,24,17,0.585,17.0,110.4,2.2,0.141,0.198,0.4,0.134,0.3,0.255,5.9,3.8,4.3,16.7,0.05,11,11,12,10,12,11,11,8,8,13,16,9,5,10,9,12,11,12,2021-22
0,203932,Aaron Gordon,Aaron,1610612743,DEN,25.0,25,19,6,0.76,25.9,111.8,3.2,0.123,0.171,0.7,0.165,0.6,0.246,8.9,6.9,7.5,24.6,0.068,15,14,6,2,7,14,8,13,14,10,12,6,6,17,16,17,17,13,2020-21
1,203085,Austin Rivers,Austin,1610612743,DEN,28.0,15,10,5,0.667,26.9,109.8,2.1,0.083,0.119,1.2,0.222,0.1,0.048,7.8,7.6,6.7,23.9,0.086,19,19,3,9,6,9,10,18,18,4,7,16,19,15,19,16,15,3,2020-21
