,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,SEASON_ID
3,1610612743,2020,00,Shaquille Harrison,Shaquille,shaquille-harrison,3,G,6-7,190,"OCT 06, 1993",27.0,3,Tulsa,1627885,,2020-21
4,1610612743,2020,00,Paul Millsap,Paul,paul-millsap,4,F,6-7,257,"FEB 10, 1985",36.0,14,Louisiana Tech,200794,,2020-21
5,1610612743,2020,00,Will Barton,Will,will-barton,5,G,6-6,181,"JAN 06, 1991",30.0,8,Memphis,203115,,2020-21
6,1610612743,2020,00,Facundo Campazzo,Facundo,facundo-campazzo,7,G,5-10,195,"MAR 23, 1991",30.0,R,Murcia,1630267,,2020-21
7,1610612743,2020,00,Bol Bol,Bol,bol-bol,10,C-F,7-2,220,"NOV 16, 1999",21.0,1,Oregon,1629626,,2020-21
8,1610612743,2020,00,Monte Morris,Monte,monte-morris,11,G,6-2,183,"JUN 27, 1995",26.0,3,Iowa State,1628420,,2020-21
9,1610612743,2020,00,Nikola Jokic,Nikola,nikola-jokic,15,C,6-11,284,"FEB 19, 1995",26.0,5,Mega Basket,203999,#41 Pick in 2014 Draft,2020-21
10,1610612743,2020,00,Zeke Nnaji,Zeke,zeke-nnaji,22,F-C,6-9,240,"JAN 09, 2001",20.0,R,Arizona,1630192,#22 Pick in 2020 Draft,2020-21
11,1610612743,2020,00,Austin Rivers,Austin,austin-rivers,25,G,6-4,200,"AUG 01, 1992",28.0,8,Duke,203085,,2020-21
12,1610612743,2020,00,Jamal Murray,Jamal,jamal-murray,27,G,6-3,215,"FEB 23, 1997",24.0,4,Kentucky,1627750,#7 Pick in 2016 Draft,2020-21
13,1610612743,2020,00,Vlatko Cancar,Vlatko,vlatko-cancar,31,F,6-8,236,"APR 10, 1997",24.0,1,San Pablo Burgos,1628427,#49 Pick in 2017 Draft,2020-21
14,1610612743,2020,00,JaVale McGee,JaVale,javale-mcgee,34,C-F,7-0,270,"JAN 19, 1988",33.0,12,Nevada,201580,,2020-21
15,1610612743,2020,00,PJ Dozier,PJ,pj-dozier,35,G-F,6-6,205,"OCT 25, 1996",24.0,3,South Carolina,1628408,,2020-21
16,1610612743,2020,00,Aaron Gordon,Aaron,aaron-gordon,50,F,6-8,235,"SEP 16, 1995",25.0,6,Arizona,203932,Traded from ORL on 03/25/21,2020-21
0,1610612743,2019,00,Michael Porter Jr.,Michael,michael-porter-jr,1,F,6-10,218,"JUN 29, 1998",22.0,R,Missouri,1629008,#14 Pick in 2018 Draft,2019-20
1,1610612743,2019,00,Torrey Craig,Torrey,torrey-craig,3,F,6-7,221,"DEC 19, 1990",29.0,2,South Carolina Upstate,1628470,,2019-20
2,1610612743,2019,00,Paul Millsap,Paul,paul-millsap,4,F,6-7,257,"FEB 10, 1985",35.0,13,Louisiana Tech,200794,,2019-20
